"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Bulkeley High School","=""0647111""",0,0,0,0,0,0,0,0,0,0,217,178,144,141,680
,,"Great Path Academy at MCC","=""0647911""",0,0,0,0,0,0,0,0,0,0,89,94,79,64,326
,,"HPHS Engineering and Green Technology Academy","=""0647211""",0,0,0,0,0,0,0,0,0,0,114,108,84,64,370
,,"HPHS Law and Government Academy","=""0647411""",0,0,0,0,0,0,0,0,0,0,114,85,66,59,324
,,"HPHS Nursing and Health Sciences Academy","=""0647511""",0,0,0,0,0,0,0,0,0,0,112,92,64,76,344
,,"High School, Inc.","=""0647611""",0,0,0,0,0,0,0,0,0,0,34,62,40,54,190
,,"Journalism and Media Academy","=""0647711""",0,0,0,0,0,0,0,0,0,0,37,54,34,45,170
,,"Pathways Academy of Technology and Design","=""0646611""",0,0,0,0,0,0,0,0,0,0,143,110,83,92,428
,,"RISE - Bulkeley High School","=""0648311""",0,0,0,0,0,0,0,0,0,0,9,"*","*","*",19
,,"RISE - HPHS Engineering and Green Technology Academy","=""0648211""",0,0,0,0,0,0,0,0,0,0,11,8,"*","*",25
,,"University High School of Science and Engineering","=""0646711""",0,0,0,0,0,0,0,0,0,0,117,112,114,88,431
,,"iGOAL 1 - HPHS Law and Government Academy","=""0644911""",0,0,0,0,0,0,0,0,0,0,8,10,"*","*",25
,,"iGoal 2 - Bulkeley High School","=""0645011""",0,0,0,0,0,0,0,0,0,0,"*","*","*",6,15
,,"Culinary Arts Academy at Weaver High School","=""0646011""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",24
,,"Capital Community College Magnet Academy","=""0643911""",0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
,,"STEP/Transition - HPHS Law & Government Academy","=""0648411""",0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Hartland School District","=""0650011""","Hartland School","=""0650111""",13,13,17,17,12,18,17,20,13,20,0,0,0,0,160
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",70,78,91,69,0,0,0,0,0,0,0,0,0,0,308
,,"Hebron Elementary School","=""0670111""",0,0,0,0,92,81,91,91,0,0,0,0,0,0,355
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",110,44,39,39,40,35,35,42,27,29,19,16,15,12,502
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",34,33,33,33,33,34,33,38,35,31,0,0,0,0,337
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",61,69,73,73,69,70,81,63,68,56,"*",10,"*",13,717
"Kent School District","=""0680011""","Kent Center School","=""0680111""",18,21,20,15,23,25,24,18,23,26,0,0,0,0,213
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",118,0,0,0,0,0,0,0,0,0,0,0,0,0,118
,,"Killingly Central School","=""0690111""",31,174,187,0,0,0,0,0,0,0,0,0,0,0,392
,,"Killingly Memorial School","=""0690311""",0,0,0,162,171,160,0,0,0,0,0,0,0,0,493
,,"Killingly Intermediate School","=""0695211""",0,0,0,0,0,0,165,164,153,166,0,0,0,0,648
,,"Killingly High School","=""0696111""",0,0,0,0,0,0,0,0,0,0,229,210,173,200,812
"Learn","=""2450014""","LEARN Integrated Program at TFS","=""2451514""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Riverside Magnet School at Goodwin College","=""2450314""",90,58,72,74,55,57,58,0,0,0,0,0,0,0,464
,,"The Friendship School","=""2450214""",413,90,0,0,0,0,0,0,0,0,0,0,0,0,503
,,"Regional Multicultural Magnet School","=""2450114""",0,85,86,88,86,77,98,0,0,0,0,0,0,0,520
,,"Learn Intensive Program","=""2451114""",0,0,"*","*","*","*",6,0,0,0,0,0,0,0,15
,,"LEARN SAILS Program","=""2451614""",0,0,0,"*","*","*","*",0,0,0,0,0,0,0,11
,,"LEARN Diagnostic and Wellness Center","=""2451414""",0,0,0,0,0,"*",0,0,0,0,0,0,0,0,"*"
,,"Learn SAILS Middle School Program","=""2450814""",0,0,0,0,0,0,"*","*","*","*",0,0,0,0,7
,,"Dual Language & Arts Magnet Middle School","=""2455014""",0,0,0,0,0,0,0,53,43,50,0,0,0,0,146
,,"Learn ABA Program at Center School","=""2451214""",0,0,0,0,0,0,0,"*","*","*","*","*",0,"*",15
,,"Learn Pathways Program","=""2450514""",0,0,0,0,0,0,0,0,0,"*","*",0,0,"*","*"
,,"Connecticut River Academy","=""2456014""",0,0,0,0,0,0,0,0,0,0,127,118,118,113,476
,,"Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",0,0,0,0,0,0,0,0,0,0,67,75,67,62,271
,,"Learn High School","=""2450614""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*","*"
,,"Three Rivers Middle College Magnet School","=""2456214""",0,0,0,0,0,0,0,0,0,0,0,0,35,32,67
,,"LEARN Transition Academy","=""2450414""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",58,55,54,63,70,66,0,0,0,0,0,0,0,0,366
,,"Lebanon Middle School","=""0715111""",0,0,0,0,0,0,62,86,77,74,0,0,0,0,299
,,"Lyman Memorial High School","=""0716211""",0,0,0,0,0,0,0,0,0,0,77,80,81,87,325
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",70,71,73,63,0,0,0,0,0,0,0,0,0,0,277
,,"Gallup Hill School","=""0720411""",0,51,45,31,55,39,44,47,0,0,0,0,0,0,312
,,"Ledyard Center School","=""0720111""",0,49,46,56,53,57,52,61,0,0,0,0,0,0,374
,,"Juliet W. Long School","=""0720311""",0,0,0,0,72,71,84,70,0,0,0,0,0,0,297
,,"Ledyard Middle School","=""0725111""",0,0,0,0,0,0,0,0,186,196,0,0,0,0,382
,,"Ledyard High School","=""0726111""",0,0,0,0,0,0,0,0,0,0,205,179,200,182,766
,,"Ledyard Transition Academy","=""0720511""",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",29,31,43,44,42,29,46,44,44,49,0,0,0,0,401
"Litchfield School District","=""0740011""","Center School","=""0740211""",38,57,52,74,64,0,0,0,0,0,0,0,0,0,285
,,"Litchfield Intermediate School","=""0740311""",0,0,0,0,0,67,64,59,0,0,0,0,0,0,190
,,"Litchfield Middle School","=""0746011""",0,0,0,0,0,0,0,0,68,70,0,0,0,0,138
,,"Litchfield High School","=""0746111""",0,0,0,0,0,0,0,0,0,0,62,64,77,74,277
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""",50,0,0,0,0,0,0,0,0,0,0,0,0,0,50
,,"Island Avenue Elementary School","=""0760211""",0,51,52,48,57,53,0,0,0,0,0,0,0,0,261
,,"J. Milton Jeffrey Elementary School","=""0760111""",0,60,72,69,61,80,0,0,0,0,0,0,0,0,342
,,"Kathleen H. Ryerson Elementary School","=""0760311""",0,33,41,40,42,38,0,0,0,0,0,0,0,0,194
,,"Dr. Robert H. Brown Middle School","=""0760611""",0,0,0,0,0,0,193,187,0,0,0,0,0,0,380
,,"Walter C. Polson Upper Middle School","=""0765211""",0,0,0,0,0,0,0,0,209,214,0,0,0,0,423
,,"Daniel Hand High School","=""0766111""",0,0,0,0,0,0,0,0,0,0,225,287,290,270,1072
"Manchester School District","=""0770011""","Buckley School","=""0770311""",28,79,78,73,51,57,0,0,0,0,0,0,0,0,366
,,"Keeney School","=""0770611""",37,56,49,49,47,47,0,0,0,0,0,0,0,0,285
,,"Manchester Preschool - Site 2","=""0770811""",34,0,0,0,0,0,0,0,0,0,0,0,0,0,34
,,"Manchester Preschool Center","=""0778011""",188,0,0,0,0,0,0,0,0,0,0,0,0,0,188
,,"Washington School","=""0771411""",0,59,35,41,61,55,0,0,0,0,0,0,0,0,251
,,"Bowers School","=""0770111""",0,61,57,76,70,76,0,0,0,0,0,0,0,0,340
,,"Highland Park School","=""0770411""",0,44,55,46,39,37,0,0,0,0,0,0,0,0,221
,,"Martin School","=""0771611""",0,48,49,35,50,45,0,0,0,0,0,0,0,0,227
,,"Verplanck School","=""0771211""",0,59,51,45,59,55,0,0,0,0,0,0,0,0,269
,,"Waddell School","=""0771311""",0,109,106,73,85,108,0,0,0,0,0,0,0,0,481
,,"Elementary Site 2","=""0771111""",0,0,"*",0,"*",0,0,0,0,0,0,0,0,0,"*"
,,"Elisabeth M. Bennet Academy","=""0771711""",0,0,0,0,0,0,473,449,0,0,0,0,0,0,922
,,"Manchester Middle Academy","=""0771511""",0,0,0,0,0,0,"*",8,"*",9,0,0,0,0,27
,,"Illing Middle School","=""0775311""",0,0,0,0,0,0,0,0,395,408,0,0,0,0,803
,,"Manchester Regional Academy","=""0779011""",0,0,0,0,0,0,0,0,"*","*",17,20,9,14,67
,,"Manchester High School","=""0776111""",0,0,0,0,0,0,0,0,0,0,461,404,376,387,1628
,,"Manchester High School-Site 2","=""0770211""",0,0,0,0,0,0,0,0,0,0,11,11,9,10,41
,,"New Horizons","=""0770711""",0,0,0,0,0,0,0,0,0,0,7,"*",8,"*",25
,,"Manchester Transition Center","=""0779111""",0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",25,31,34,35,52,43,0,0,0,0,0,0,0,0,220
,,"Dorothy C. Goodwin School","=""0780211""",24,33,32,34,33,30,0,0,0,0,0,0,0,0,186
,,"Southeast Elementary School","=""0780511""",22,33,28,31,28,41,0,0,0,0,0,0,0,0,183
,,"Mansfield Middle School","=""0785111""",0,0,0,0,0,0,121,153,148,131,0,0,0,0,553
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",22,45,46,55,69,65,65,82,0,0,0,0,0,0,449
"Meriden School District","=""0800011""","Hanover School","=""0800311""",8,44,57,104,73,93,84,0,0,0,0,0,0,0,463
,,"Israel Putnam School","=""0800411""","*",87,79,80,74,"*",96,0,0,0,0,0,0,0,489
,,"John Barry School","=""0800511""","*",79,"*",78,86,93,104,0,0,0,0,0,0,0,518
,,"Nathan Hale School","=""0800711""","*",88,"*",99,90,115,115,0,0,0,0,0,0,0,596
,,"PRIDE","=""0802611""",99,0,0,0,0,0,0,0,0,0,0,0,0,0,99
,,"Roger Sherman School","=""0800811""","*",82,"*",74,84,87,88,0,0,0,0,0,0,0,487
,,"STARS - ES","=""0800611""","*","*",10,"*",8,"*",14,0,0,0,0,0,0,0,46
,,"Thomas Hooker School","=""0801011""","*",94,98,49,"*",63,53,0,0,0,0,0,0,0,405
,,"Benjamin Franklin School","=""0800111""",0,55,52,59,59,62,66,0,0,0,0,0,0,0,353
,,"Casimir Pulaski School","=""0801111""",0,89,82,89,111,108,103,0,0,0,0,0,0,0,582
,,"STEP - ES","=""0800911""",0,"*","*","*","*",6,"*",0,0,0,0,0,0,0,28
,,"SOAR- ES","=""0802211""",0,0,"*","*","*","*","*",0,0,0,0,0,0,0,9
,,"Lincoln Middle School","=""0805211""",0,0,0,0,0,0,0,254,255,252,0,0,0,0,761
,,"SOAR - LMS","=""0802311""",0,0,0,0,0,0,0,"*","*",8,"*",0,0,0,16
,,"SOAR - WMS","=""0802411""",0,0,0,0,0,0,0,"*",7,"*",0,0,0,0,14
,,"STEPS  - MS","=""0801211""",0,0,0,0,0,0,0,8,8,8,0,0,0,0,24
,,"Washington Middle School","=""0805411""",0,0,0,0,0,0,0,273,234,248,0,0,0,0,755
,,"STARS-MS","=""0801511""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,6
,,"Venture Academy","=""0801311""",0,0,0,0,0,0,0,0,0,"*",15,15,11,"*",51
,,"Francis T. Maloney High School","=""0806111""",0,0,0,0,0,0,0,0,0,0,321,291,284,238,1134
,,"Orville H. Platt High School","=""0806211""",0,0,0,0,0,0,0,0,0,0,258,233,212,228,931
,,"SOAR - PHS","=""0802511""",0,0,0,0,0,0,0,0,0,0,"*","*",6,"*",12
,,"TLC - PHS","=""0801911""",0,0,0,0,0,0,0,0,0,0,"*","*",6,"*",13
,,"TSC - MHS","=""0801611""",0,0,0,0,0,0,0,0,0,0,7,"*","*","*",19
,,"TSC - PHS","=""0801711""",0,0,0,0,0,0,0,0,0,0,9,7,"*","*",24
,,"STARS - HS","=""0801811""",0,0,0,0,0,0,0,0,0,0,0,"*","*",7,16
,,"Success Academy","=""0801411""",0,0,0,0,0,0,0,0,0,0,0,9,16,13,38
,,"TLC - MHS","=""0802011""",0,0,0,0,0,0,0,0,0,0,0,"*","*",11,14
,,"Community Classroom Collaborative","=""0800211""",0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
,,"Community Collaborative Classroom - ACADEMY","=""0802111""",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"Middletown School District","=""0830011""","Snow School","=""0831111""",103,53,45,58,41,37,43,0,0,0,0,0,0,0,380
,,"Bielefield School","=""0830211""",0,56,58,40,42,46,39,0,0,0,0,0,0,0,281
,,"Farm Hill School","=""0830511""",0,54,62,47,46,55,60,0,0,0,0,0,0,0,324
,,"ICM - Moody K-2","=""0830811""",0,"*","*","*",0,0,0,0,0,0,0,0,0,0,6
,,"Lawrence School","=""0831311""",0,55,61,42,48,47,43,0,0,0,0,0,0,0,296
,,"MacDonough School","=""0830911""",0,21,31,41,33,36,51,0,0,0,0,0,0,0,213
,,"Moody School","=""0831211""",0,37,35,37,38,39,36,0,0,0,0,0,0,0,222
,,"Spencer School","=""0830111""",0,48,60,40,43,48,44,0,0,0,0,0,0,0,283
,,"Wesley School","=""0831411""",0,42,39,40,31,43,46,0,0,0,0,0,0,0,241
,,"ICM - Farm Hill","=""0830611""",0,0,"*",0,"*",0,0,0,0,0,0,0,0,0,"*"
,,"ICM - Moody 3-5","=""0830711""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,"*"
,,"ICM - Spencer","=""0832011""",0,0,0,0,0,"*","*",0,0,0,0,0,0,0,8
,,"ICM- Woodrow Wilson Middle School","=""0830411""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,6
,,"Keigwin Middle School","=""0831511""",0,0,0,0,0,0,0,323,0,0,0,0,0,0,323
,,"Woodrow Wilson Middle School","=""0835411""",0,0,0,0,0,0,0,0,305,305,0,0,0,0,610
,,"MHS - Alternative Education Program 1","=""0831811""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",8
,,"MHS- Alternative Education Program 3","=""0832211""",0,0,0,0,0,0,0,0,0,0,"*","*",6,"*",11
,,"Middletown High School","=""0836211""",0,0,0,0,0,0,0,0,0,0,354,340,319,299,1312
,,"Virtual Learning Academy - MHS","=""0831711""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",6
,,"Evening Program - MHS","=""0831611""",0,0,0,0,0,0,0,0,0,0,0,"*",7,"*",13
,,"MHS - Alternative Education Program 2","=""0831911""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*","*"
,,"Transition to Life Center","=""0839111""",0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",43,44,46,48,45,37,61,0,0,0,0,0,0,0,324
,,"Live Oaks School","=""0841611""",59,40,38,45,40,37,44,0,0,0,0,0,0,0,303
,,"Orange Avenue School","=""0840811""",50,66,61,40,57,57,58,0,0,0,0,0,0,0,389
,,"Orchard Hills School","=""0841811""",34,39,41,43,58,46,60,0,0,0,0,0,0,0,321
,,"Pumpkin Delight School","=""0841011""",42,30,37,39,35,44,38,0,0,0,0,0,0,0,265
,,"Calf Pen Meadow School","=""0840111""",0,26,51,42,39,66,48,0,0,0,0,0,0,0,272
,,"Mathewson School","=""0841711""",0,57,59,64,62,76,57,0,0,0,0,0,0,0,375
,,"Meadowside School","=""0840711""",0,43,49,37,51,45,41,0,0,0,0,0,0,0,266
,,"East Shore Middle School","=""0845111""",0,0,0,0,0,0,0,118,130,147,0,0,0,0,395
,,"Harborside Middle School","=""0845211""",0,0,0,0,0,0,0,153,148,159,0,0,0,0,460
,,"West Shore Middle School","=""0845311""",0,0,0,0,0,0,0,152,155,155,0,0,0,0,462
,,"Jonathan Law High School","=""0846211""",0,0,0,0,0,0,0,0,0,0,207,237,182,208,834
,,"Joseph A. Foran High School","=""0846311""",0,0,0,0,0,0,0,0,0,0,213,216,222,223,874
,,"The Academy","=""0840311""",0,0,0,0,0,0,0,0,0,0,7,19,8,15,49
,,"Fifth Year Vocational Experience","=""0840411""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
,,"Post Grad Transitional Academy","=""0840611""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",46,53,52,46,50,61,58,0,0,0,0,0,0,0,366
,,"Fawn Hollow Elementary School","=""0850511""",0,79,98,85,102,90,94,0,0,0,0,0,0,0,548
,,"Stepney Elementary School","=""0850311""",0,65,60,75,64,78,81,0,0,0,0,0,0,0,423
,,"Jockey Hollow School","=""0855211""",0,0,0,0,0,0,0,246,261,249,0,0,0,0,756
,,"Masuk High School","=""0856111""",0,0,0,0,0,0,0,0,0,0,278,247,230,242,997
,,"Masuk Alternative Program","=""0850211""",0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
"Montville School District","=""0860011""","Mohegan School","=""0860111""","*",54,50,57,"*",66,67,0,0,0,0,0,0,0,337
,,"Pre School Program","=""0860311""",46,0,0,0,0,0,0,0,0,0,0,0,0,0,46
,,"Dr. Charles E. Murphy School","=""0860711""",0,39,45,55,46,44,61,0,0,0,0,0,0,0,290
,,"Oakdale School","=""0860511""",0,48,47,50,39,36,60,0,0,0,0,0,0,0,280
,,"Leonard J. Tyl Middle School","=""0865111""",0,0,0,0,0,0,0,166,159,175,0,0,0,0,500
,,"Montville High School","=""0866111""",0,0,0,0,0,0,0,0,0,0,140,148,138,138,564
,,"Palmer Academy","=""0869011""",0,0,0,0,0,0,0,0,0,0,16,10,"*","*",38
,,"Montville Transition and Vocational Training Academy","=""0860611""",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""",30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,,"Head Start","=""0888111""",131,0,0,0,0,0,0,0,0,0,0,0,0,0,131
,,"Andrew Avenue School","=""0880811""",0,46,39,57,53,49,0,0,0,0,0,0,0,0,244
,,"Hop Brook Elementary School","=""0880511""",0,71,48,74,47,74,0,0,0,0,0,0,0,0,314
,,"Maple Hill School","=""0880311""",0,93,97,98,91,88,0,0,0,0,0,0,0,0,467
,,"Salem School","=""0880611""",0,57,55,53,56,54,0,0,0,0,0,0,0,0,275
,,"Western School","=""0880711""",0,41,57,49,56,59,0,0,0,0,0,0,0,0,262
,,"Cross Street Intermediate School","=""0880211""",0,0,0,0,0,0,155,161,0,0,0,0,0,0,316
,,"Hillside Intermediate School","=""0880411""",0,0,0,0,0,0,167,164,0,0,0,0,0,0,331
,,"City Hill Middle School","=""0885111""",0,0,0,0,0,0,0,0,336,332,0,0,0,0,668
,,"Naugatuck High School","=""0886111""",0,0,0,0,0,0,0,0,0,0,299,313,312,329,1253
,,"Genesis Academy","=""0880911""",0,0,0,0,0,0,0,0,0,0,0,"*","*",6,15
"New Beginnings Inc Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",46,53,61,58,60,57,45,45,28,29,0,0,0,0,482
"New Britain School District","=""0890011""","DiLoreto Elementary & Middle School","=""0891111""",36,81,85,87,89,95,95,104,100,73,0,0,0,0,845
,,"Gaffney Elementary School","=""0890511""",42,70,60,74,71,58,59,0,0,0,0,0,0,0,434
,,"Gaffney KEY Elementary","=""0891611""",42,15,15,9,"*",9,"*",0,0,0,0,0,0,0,102
,,"Lincoln Elementary School","=""0890811""",94,103,95,95,120,122,109,0,0,0,0,0,0,0,738
,,"Roosevelt Early Learning Center","=""0890111""",163,0,0,0,0,0,0,0,0,0,0,0,0,0,163
,,"Holmes Elementary School","=""0890611""",0,79,95,78,93,84,89,0,0,0,0,0,0,0,518
,,"Chamberlain  Elementary School","=""0890311""",0,75,66,79,97,77,82,0,0,0,0,0,0,0,476
,,"Holmes Behavior Support","=""0891011""",0,"*","*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Holmes Sunrise Intermediate","=""0890411""",0,"*","*","*",6,"*","*",0,0,0,0,0,0,0,18
,,"Jefferson Elementary School","=""0890711""",0,91,74,63,86,70,69,0,0,0,0,0,0,0,453
,,"Northend Elementary School","=""0890911""",0,45,44,48,50,50,40,0,0,0,0,0,0,0,277
,,"Smalley Elementary School","=""0891211""",0,115,113,117,116,109,91,0,0,0,0,0,0,0,661
,,"Smith Elementary School","=""0891311""",0,97,80,85,87,97,90,0,0,0,0,0,0,0,536
,,"Sunrise Primary (Chamberlain)","=""0890211""",0,"*","*",6,"*","*",7,0,0,0,0,0,0,0,24
,,"Vance Elementary School","=""0891511""",0,73,75,81,72,77,85,0,0,0,0,0,0,0,463
,,"New Britain Transition Center","=""0899011""",0,0,0,"*",7,"*","*","*",6,"*",6,6,"*","*",47
,,"FAAR (Smith)","=""0891911""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,9
,,"House of Arts Letters and Science (HALS)  Academy","=""0895411""",0,0,0,0,0,0,0,55,47,46,0,0,0,0,148
,,"Pulaski Middle School","=""0895311""",0,0,0,0,0,0,0,323,272,280,0,0,0,0,875
,,"Slade KEY Middle","=""0891711""",0,0,0,0,0,0,0,"*",9,"*",0,0,0,0,17
,,"Slade Middle School","=""0895211""",0,0,0,0,0,0,0,282,278,306,0,0,0,0,866
,,"Brookside School","=""0899111""",0,0,0,0,0,0,0,0,"*",7,15,10,"*","*",37
,,"New Britain High School","=""0896111""",0,0,0,0,0,0,0,0,0,0,736,532,449,491,2208
,,"New Britain High School Satellite Careers Academy","=""0899511""",0,0,0,0,0,0,0,0,0,0,7,7,73,89,176
,,"CLIMB","=""0899411""",0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
"New Canaan School District","=""0900011""","West School","=""0900311""",46,66,76,94,95,107,0,0,0,0,0,0,0,0,484
,,"East School","=""0900411""",0,92,100,121,104,118,0,0,0,0,0,0,0,0,535
,,"South School","=""0900211""",0,75,109,110,114,111,0,0,0,0,0,0,0,0,519
,,"Saxe Middle School","=""0905111""",0,0,0,0,0,0,297,357,330,350,0,0,0,0,1334
,,"New Canaan High School","=""0906111""",0,0,0,0,0,0,0,0,0,0,294,370,302,318,1284
,,"Launch","=""0900111""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",77,112,157,138,0,0,0,0,0,0,0,0,0,0,484
,,"Meeting House Hill School","=""0910211""",0,0,0,0,156,140,161,0,0,0,0,0,0,0,457
,,"New Fairfield Middle School","=""0915211""",0,0,0,0,0,0,0,174,182,156,0,0,0,0,512
,,"New Fairfield High School","=""0916111""",0,0,0,0,0,0,0,0,0,0,182,186,194,215,777
,,"Alternative Learning Center","=""0910311""",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",15,31,31,19,0,0,0,0,0,0,0,0,0,0,96
,,"Bakerville Consolidated School","=""0920111""",0,29,33,28,0,0,0,0,0,0,0,0,0,0,90
,,"Ann Antolini School","=""0920311""",0,0,0,0,71,53,57,79,0,0,0,0,0,0,260
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",57,49,47,68,46,52,50,53,54,54,0,0,0,0,530
,,"Augusta Lewis Troup School","=""0931511""",18,51,47,37,42,50,63,50,53,48,0,0,0,0,459
,,"Barnard Environmental Magnet School","=""0930211""",60,63,49,51,62,43,66,49,64,39,0,0,0,0,546
,,"Beecher School","=""0930311""",77,38,48,46,45,47,48,45,44,43,0,0,0,0,481
,,"Benjamin Jepson Head Start","=""0933411""",16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,,"Benjamin Jepson Magnet School","=""0931811""",60,56,47,50,52,50,50,52,47,47,0,0,0,0,511
,,"Brennan Rogers School","=""0932111""",31,37,46,69,41,46,56,50,53,49,0,0,0,0,478
,,"Celentano BioTech, Health and Medical Magnet School","=""0934811""",35,37,40,36,36,40,40,43,42,39,0,0,0,0,388
,,"Columbus Family Academy","=""0934111""",41,48,48,51,52,49,51,51,54,51,0,0,0,0,496
,,"Conte/West Hills Magnet School","=""0933111""",36,66,62,65,68,70,77,73,75,70,0,0,0,0,662
,,"Davis 21st Century Magnet Elementary School","=""0930911""",60,51,49,52,53,50,54,49,54,45,0,0,0,0,517
,,"Dr. Reginald Mayo Early Learning Center","=""0932711""",397,0,0,0,0,0,0,0,0,0,0,0,0,0,397
,,"East Rock Community Magnet School","=""0934611""",57,49,44,46,46,49,48,46,47,50,0,0,0,0,482
,,"East Rock Self Contained MD","=""0937511""","*","*",6,"*","*","*",6,7,6,"*",0,0,0,0,44
,,"Fair Haven School","=""0931611""",33,86,73,79,81,87,93,99,91,90,0,0,0,0,812
,,"Hill Central Music Academy","=""0930711""",38,42,45,47,53,50,51,54,53,52,0,0,0,0,485
,,"John C. Daniels","=""0931311""",82,47,55,48,50,67,43,50,52,46,0,0,0,0,540
,,"John S. Martinez Sea and Sky STEM School","=""0930811""",52,52,51,52,51,53,54,55,78,54,0,0,0,0,552
,,"King/Robinson Magnet School","=""0933011""",58,42,46,52,42,51,53,63,54,48,0,0,0,0,509
,,"Lincoln Bassett Integrated PK","=""0930510""",13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,,"Lincoln-Bassett School","=""0932011""",28,60,57,49,41,48,47,41,0,0,0,0,0,0,371
,,"Lulac","=""0938011""",117,0,0,0,0,0,0,0,0,0,0,0,0,0,117
,,"Mauro-Sheridan Magnet School","=""0931911""",59,48,50,47,52,71,70,52,49,50,0,0,0,0,548
,,"Ross/Woodward School","=""0931011""",61,61,68,68,60,69,65,73,74,59,0,0,0,0,658
,,"Truman School","=""0932911""",50,50,48,46,51,55,67,78,69,51,0,0,0,0,565
,,"West Rock Authors Academy","=""0934911""",18,31,33,30,25,37,0,0,0,0,0,0,0,0,174
,,"West Rock Integrated PK","=""0930410""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Wexler/Grant Community School","=""0933211""",16,35,41,39,39,33,36,46,50,38,0,0,0,0,373
,,"Edgewood School","=""0931211""",0,50,48,48,47,52,52,48,49,44,0,0,0,0,438
,,"Bishop Woods Architecture and Design Magnet School","=""0934311""",0,50,46,51,46,47,54,52,50,52,0,0,0,0,448
,,"Bishop Woods Self Contained Autism","=""0937911""",0,"*","*",0,"*","*",0,"*","*","*",0,0,0,0,15
,,"Brennan Rogers Self Contained Autism","=""0937211""",0,"*","*","*","*","*","*","*","*","*",0,0,0,0,23
,,"Clinton Avenue School","=""0930611""",0,56,57,56,61,61,57,54,44,47,0,0,0,0,493
,,"Lincoln Bassett Self Contained","=""0930310""",0,"*",0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Quinnipiac Real World Math STEM School","=""0933511""",0,49,44,46,49,39,52,0,0,0,0,0,0,0,279
,,"Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",0,51,52,49,50,61,52,54,54,52,0,0,0,0,475
,,"Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",0,63,60,43,60,41,0,0,0,0,0,0,0,0,267
,,"Strong Self Contained Autism","=""0937611""",0,"*","*",7,"*","*",0,0,0,0,0,0,0,0,20
