"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Barnum School","=""0150111""",46,81,80,80,53,70,56,49,53,52,0,0,0,0,620
,,"Beardsley School","=""0150211""",37,47,49,33,41,43,49,32,0,0,0,0,0,0,331
,,"Black Rock School","=""0150311""",47,55,47,44,47,58,46,50,48,41,0,0,0,0,483
,,"Blackham School","=""0154011""",39,93,96,113,109,107,109,89,160,152,0,0,0,0,1067
,,"Bryant School","=""0150411""",32,60,52,45,45,53,47,32,0,0,0,0,0,0,366
,,"Cesar Batalla School","=""0151411""",34,103,107,107,109,144,106,114,126,122,0,0,0,0,1072
,,"Classical Studies Academy","=""0152111""",18,48,48,50,50,49,50,50,50,40,0,0,0,0,453
,,"Columbus School","=""0150511""",36,56,55,78,67,71,57,45,56,44,0,0,0,0,565
,,"Geraldine Claytor Magnet Academy","=""0153111""",36,38,42,51,54,54,48,55,40,48,0,0,0,0,466
,,"Geraldine Johnson School","=""0153211""",18,96,82,76,79,91,83,87,89,98,0,0,0,0,799
,,"Hallen School","=""0151211""",18,39,34,51,36,39,44,28,0,0,0,0,0,0,289
,,"High Horizons Magnet School","=""0154511""",18,45,48,49,50,50,51,45,51,47,0,0,0,0,454
,,"Interdistrict Discovery Magnet School","=""0153711""",90,45,45,44,44,44,44,44,44,44,0,0,0,0,488
,,"Jettie S. Tisdale School","=""0152211""",47,66,77,59,57,65,63,59,66,88,0,0,0,0,647
,,"John Winthrop School","=""0153611""",18,62,60,67,74,77,70,78,84,74,0,0,0,0,664
,,"Luis Munoz Marin School","=""0151011""",18,68,79,72,84,109,79,91,113,105,0,0,0,0,818
,,"Park City Magnet School","=""0151711""",33,52,57,57,56,59,52,57,50,50,0,0,0,0,523
,,"Paul Laurence Dunbar School","=""0154111""",67,49,36,41,34,37,38,24,29,35,0,0,0,0,390
,,"Read School","=""0152511""",36,74,88,83,79,105,87,89,72,84,0,0,0,0,797
,,"Roosevelt School","=""0152611""",36,61,69,70,60,72,54,62,42,58,0,0,0,0,584
,,"Waltersville School","=""0153011""",18,58,49,60,52,57,61,50,51,34,0,0,0,0,490
,,"Wilbur Cross School","=""0153911""",18,31,39,29,38,32,23,31,39,31,0,0,0,0,311
